year-month-date-hour,1,2,3,4,5,9,10,11,12,13,14,16,18,19,22
2018-05-22-08,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2018-05-23-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-05-25-05,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2018-05-26-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-05-28-08,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2018-05-29-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-05-31-08,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2018-06-01-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-03-08,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
2018-06-04-22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-06-06,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
2018-06-07-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-09-05,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2018-06-10-21,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
2018-06-12-03,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-14-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-16-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-18-05,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2018-06-19-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-21-06,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
2018-06-22-12,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
2018-06-23-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-25-05,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
2018-06-26-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-28-03,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-06-29-15,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
2018-06-30-23,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2018-07-02-08,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
