year-month-date-hour,1,2,4,7,8,9,10,11,12,13,14,15,16,19,22,25,27
2018-05-20-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-22-08,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0
2018-05-23-20,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2018-05-24-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-05-28-17,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
2018-05-30-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-06-01-05,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-06-05-07,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
2018-06-06-15,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1
2018-06-09-05,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-06-10-15,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1
2018-06-11-13,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0
2018-06-12-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-06-16-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-06-23-05,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2018-06-24-13,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0
2018-07-01-23,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
