year-month-date-hour,1,2,3,4,5,7,8,9,10,11,12,13,14,16,18,19,20,21,22,23,24
2018-05-25-05,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
2018-05-26-16,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
2018-05-27-21,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2018-05-28-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-05-30-08,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
2018-05-31-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-06-02-08,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
2018-06-03-13,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1
2018-06-04-09,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0
2018-06-05-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-06-07-08,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
2018-06-08-22,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1
2018-06-09-21,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2018-06-11-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-06-13-08,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0
2018-06-14-21,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1
2018-06-17-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-06-19-03,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
2018-06-20-16,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
2018-06-21-22,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1
2018-06-23-03,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
2018-06-27-18,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2018-06-28-23,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2018-06-30-05,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
2018-07-01-19,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
